"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
622065,"Young, Alex","L",621,109,"32.0",1.928844387018065,6.024057971014493,0.020964115783848308,4.830261871072137
622251,"Staumont, Josh","R",396,118,"56.1",-1.1928495783115882,6.3340151515151515,0.07920541657663985,4.440388862218441
622491,"Castillo, Luis","R",885,113,"20.5",-2.208863547523116,5.330203389830508,0.03705588413331434,4.48948321212409
622608,"Senzatela, Antonio","R",640,115,"41.0",-1.8675198942381337,5.930375,-0.0957394812391576,4.387345442501433
622772,"Cordero, Jimmy","R",383,145,"47.2",-1.4630205862308046,6.278407310704961,0.1543630820137217,4.528676736052242
623470,"Newberry, Jake","R",363,118,"44.4",-1.3715621808956517,6.255234159779614,0.2322391523554701,4.682627744201863
624418,"Castellani, Ryan","R",401,115,"23.4",-2.6277568968858893,5.379027431421447,-0.38419485737805664,4.411309585759548
625643,"López, Reynaldo","R",449,145,"46.6",-1.4560231378138957,6.010846325167038,0.006430041849499467,4.464620672376665
628317,"Maeda, Kenta","R",821,142,"37.4",-1.854502492583187,5.759768574908648,-0.08189235043735132,4.403921343001324
628711,"Urías, Julio","L",628,119,"48.0",1.463321631983531,6.023710191082802,-0.11188233831112063,4.271323863133556
640455,"Manaea, Sean","L",628,133,"25.8",2.6686806612946388,5.460382165605096,0.5833993628961428,4.451258301794372
641154,"López, Pablo","R",896,146,"28.4",-2.3258806297016013,5.46765625,-0.23200148760409703,4.337783942509888
641302,"Alexander, Tyler","L",480,116,"35.1",1.9700960006204673,5.708354166666667,0.12777552174217224,4.414789041405388
641540,"Dunning, Dane","R",462,145,"39.9",-1.8554862006125716,5.813766233766234,-0.0572168971100837,4.306551366646521
641582,"Foster, Matt","R",378,145,"54.9",-0.9566282944188315,6.129100529100529,0.28024343933027757,4.372352947573811
641712,"Hudson, Dakota","R",379,138,"44.2",-1.442982905756476,6.266833773087071,0.17846508290651353,4.708581961189969
641745,"Keller, Brad","R",669,118,"51.1",-1.174994306509694,6.425231689088191,0.305891612807951,4.589714495843045
641771,"Kuhl, Chad","R",698,134,"41.2",-1.671376751974883,5.733223495702005,-0.043038778971604276,4.310513296252142
641816,"Mahle, Tyler","R",783,113,"36.8",-1.9931342262599365,5.601775223499361,-0.2291519137442798,4.281790160711968
642232,"Yarbrough, Ryan","L",419,139,"18.4",2.844611131019671,5.12909307875895,0.6180404729572454,4.388747269274872
642233,"Yardley, Eric","R",366,158,"-33.7",-2.78560010482596,2.4343169398907105,-0.8821160710893896,3.7054606759494657
642547,"Peralta, Freddy","R",514,158,"36.6",-2.04518507994109,5.0777431906614785,-0.24206834037545863,3.737957717048749
643230,"Brault, Steven","L",623,134,"34.3",1.8831672749557553,5.716629213483146,0.058167618147361086,4.470226207303146
643290,"Dunn, Justin","R",535,136,"38.1",-1.7260877776694228,5.746579439252336,-0.0006366409306288352,4.3919890329155455
643327,"Godley, Zack","R",552,111,"35.4",-1.824948802500627,6.217409420289855,0.11782179483251634,4.83685151841303
645261,"Alcantara, Sandy","R",465,146,"35.7",-2.059903058355264,5.933397849462366,-0.006040985699020565,4.460270796496752
650633,"King, Michael","R",395,147,"30.7",-1.860366494465503,5.479670886075949,0.03496631898846995,4.35304414133893
650644,"Civale, Aaron","R",989,114,"46.9",-1.1455417876704526,6.035783619817998,0.34540418053129884,4.441504895227049
656232,"Bielak, Brandon","R",460,117,"46.4",-1.3675429194788111,6.195260869565217,0.25420873579545455,4.49177195619478
656288,"Canning, Griffin","R",677,108,"49.3",-1.1002657270213068,5.982540620384047,0.3828256845104095,4.257955344039052
656302,"Cease, Dylan","R",980,145,"50.5",-1.2751160078664692,6.255438775510204,0.16548215853695375,4.512459874813399
656427,"Flaherty, Jack","R",544,138,"29.9",-1.8297463619664536,5.510698529411765,0.16689758495869939,4.363969142421047
656756,"Montgomery, Jordan","L",494,147,"50.9",1.2615373112677037,6.952914979757085,-0.29581429501387413,5.038168525277934
656849,"Peterson, David","L",437,121,"39.3",1.8054468075273382,5.946224256292906,-0.12216133495576305,4.370464345947189
656954,"Sheffield, Justus","L",594,136,"38.9",1.8123574631937753,5.433939393939394,0.07055422664811256,4.027620350875007
657053,"Toussaint, Touki","R",419,144,"36.0",-1.895602898719726,5.733890214797136,0.02657763812755521,4.3389754340893445
657140,"Wright, Kyle","R",466,144,"36.2",-2.1299791030056414,5.886051502145922,-0.06581166468064986,4.374464700611468
657277,"Webb, Logan","R",589,137,"26.9",-2.2048615171918606,5.4235483870967744,-0.20453526345918055,4.409632862310922
659275,"Lamet, Dinelson","R",851,135,"45.0",-1.5054529700756205,6.172397179788484,0.23720502174302047,4.432890827185217
663460,"Bubic, Kris","L",646,118,"45.4",1.521304893860537,5.754891640866873,-0.07428383479686555,4.135362041753093
663465,"Allard, Kolby","L",589,140,"46.6",1.4095351898295125,5.644889643463498,-0.06479689716463835,4.082357823731746
663474,"McKenzie, Triston","R",438,114,"49.2",-1.2818362274062998,6.304931506849315,0.2326139090339332,4.550246589382951
663554,"Mize, Casey","R",534,116,"31.6",-2.0300504871176037,5.543876404494382,-0.19265565012555924,4.414042562561456
663776,"Sandoval, Patrick","L",519,108,"57.4",0.8015034836122334,6.4123314065510595,-0.4087343280969333,4.524075153470698
663903,"Singer, Brady","R",971,118,"35.5",-1.6869876656591558,5.510185375901133,0.04665777247164197,4.274119903878015
663978,"Paddack, Chris","R",752,135,"47.2",-1.5855318854957106,6.199015957446808,0.0163758574319174,4.471919214213883
664045,"Eshelman, Thomas","R",362,110,"47.6",-1.3288343491106813,5.738950276243094,0.1345469588639072,4.135098780295644
664062,"Gonsolin, Tony","R",529,119,"46.7",-1.587960375345286,6.152646502835538,0.05185393655593359,4.411516660015871
664129,"Hartlieb, Geoff","R",382,134,"35.8",-1.946971785941946,6.094712041884817,0.032459560383827496,4.668776605736298
664141,"Brubaker, JT","R",679,134,"45.0",-1.411097000629095,6.088203240058911,0.2871738042016244,4.388121990341123
664199,"Clarke, Taylor","R",647,109,"47.4",-1.2332868660825675,6.233693972179289,0.35733756003472766,4.507051849505258
