"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Bader, Harrison","664056","Cardinals","2020","CF","3",3,1,2,-1,0,2,1,"92%","89%","3%"
"Bell, Josh","605137","Pirates","2020","1B","-2",-3,0,-4,1,1,-1,-1,"71%","74%","-3%"
"Bellinger, Cody","641355","Dodgers","2020","CF","8",10,1,4,4,1,5,5,"90%","85%","5%"
"Belt, Brandon","474832","Giants","2020","1B","0",0,1,-3,1,0,-2,2,"79%","79%","0%"
"Berti, Jon","542932","Marlins","2020","2B","-2",-2,0,-1,-2,0,-3,1,"81%","83%","-2%"
"Betts, Mookie","605141","Dodgers","2020","RF","4",4,0,2,1,2,3,1,"92%","90%","2%"
"Bichette, Bo","666182","Blue Jays","2020","SS","1",1,1,-1,1,0,1,0,"76%","75%","1%"
"Biggio, Cavan","624415","Blue Jays","2020","2B","-2",-2,-2,1,0,-1,-3,1,"79%","80%","-1%"
"Blackmon, Charlie","453568","Rockies","2020","RF","-1",-1,1,0,-2,0,0,-1,"89%","90%","-1%"
"Bogaerts, Xander","593428","Red Sox","2020","SS","-2",-3,0,-1,-3,1,-3,0,"67%","69%","-2%"
"Bohm, Alec","664761","Phillies","2020","3B","0",0,0,0,-1,0,-1,0,"70%","70%","0%"
"Bote, David","623520","Cubs","2020","3B","-3",-4,0,-1,-2,0,-3,-1,"68%","72%","-4%"
"Bradley Jr., Jackie","598265","Red Sox","2020","CF","6",6,1,4,3,-1,4,3,"92%","87%","5%"
"Bregman, Alex","608324","Astros","2020","3B","1",1,2,2,-3,0,1,0,"71%","71%","0%"
"Brinson, Lewis","621446","Marlins","2020","RF","-1",-1,0,-3,1,1,-1,0,"86%","87%","-1%"
"Brosseau, Mike","670712","Rays","2020","3B","3",4,1,2,1,0,4,0,"76%","72%","4%"
"Bryant, Kris","592178","Cubs","2020","3B","-2",-3,-2,0,-1,0,0,-3,"71%","74%","-3%"
"Buxton, Byron","621439","Twins","2020","CF","4",4,0,1,3,0,0,4,"95%","91%","4%"
"Báez, Javier","595879","Cubs","2020","SS","7",9,5,1,3,0,5,3,"81%","77%","4%"
"Cabrera, Asdrúbal","452678","Nationals","2020","3B","2",3,1,-1,2,0,3,0,"73%","69%","4%"
"Calhoun, Kole","594777","D-backs","2020","RF","-1",-2,0,-2,-1,1,0,-2,"90%","92%","-2%"
"Camargo, Johan","622666","Braves","2020","2B","3",4,1,2,1,1,2,2,"79%","75%","4%"
"Candelario, Jeimer","600869","Tigers","2020","1B","2",3,1,2,0,1,1,2,"74%","72%","2%"
"Canha, Mark","592192","Athletics","2020","RF","1",1,-1,1,0,1,1,0,"89%","88%","1%"
"Canó, Robinson","429664","Mets","2020","2B","2",2,2,0,0,-1,2,1,"74%","72%","2%"
"Carlson, Dylan","666185","Cardinals","2020","CF","0",0,0,0,0,0,0,0,"90%","90%","0%"
"Carpenter, Matt","572761","Cardinals","2020","3B","2",2,2,0,-1,0,2,0,"78%","76%","2%"
"Castellanos, Nick","592206","Reds","2020","RF","-4",-4,-1,-3,-1,1,-3,-2,"83%","87%","-4%"
"Castro, Willi","650489","Tigers","2020","SS","-3",-3,-1,-4,1,0,-4,1,"68%","70%","-2%"
"Chapman, Matt","656305","Athletics","2020","3B","1",1,2,0,-1,0,1,1,"68%","67%","1%"
"Chavis, Michael","656308","Red Sox","2020","1B","-3",-4,0,-1,-1,-2,-3,-1,"66%","70%","-4%"
"Choi, Ji Man","596847","Rays","2020","1B","-2",-3,0,-3,-1,0,0,-4,"70%","74%","-4%"
"Conforto, Michael","624424","Mets","2020","RF","-3",-3,0,0,-3,-1,-4,1,"82%","84%","-2%"
"Correa, Carlos","621043","Astros","2020","SS","3",4,4,1,-1,1,0,4,"79%","77%","2%"
"Crawford, Brandon","543063","Giants","2020","SS","6",8,3,3,0,2,4,4,"78%","74%","4%"
"Crawford, J.P.","641487","Mariners","2020","SS","5",6,6,3,-1,-1,5,1,"82%","79%","3%"
"Cronenworth, Jake","630105","Padres","2020","2B","5",6,2,1,1,1,2,4,"75%","71%","4%"
"Davis, J.D.","605204","Mets","2020","3B","-5",-6,0,-1,-4,0,-3,-3,"62%","68%","-6%"
"DeJong, Paul","657557","Cardinals","2020","SS","-3",-4,-2,-2,-1,0,-2,-2,"77%","79%","-2%"
"DeShields, Delino","592261","Guardians","2020","CF","0",0,1,0,0,-1,1,-1,"89%","89%","0%"
"Devers, Rafael","646240","Red Sox","2020","3B","-3",-4,-2,0,-2,0,-3,-1,"60%","62%","-2%"
"Dickerson, Alex","543105","Giants","2020","LF","-3",-3,0,-2,1,-2,-1,-2,"81%","85%","-4%"
"Dickerson, Corey","572816","Marlins","2020","LF","-1",-1,0,0,0,0,-1,-1,"84%","85%","-1%"
"Donaldson, Josh","518626","Twins","2020","3B","0",1,1,0,0,0,-1,1,"68%","67%","1%"
"Dozier, Hunter","641531","Royals","2020","1B","-1",-1,0,-1,0,0,0,0,"80%","81%","-1%"
"Dubón, Mauricio","643289","Giants","2020","CF","3",4,-1,4,2,-1,-1,5,"90%","88%","2%"
"Duvall, Adam","594807","Braves","2020","LF","1",1,-1,1,1,0,2,0,"86%","84%","2%"
"Díaz, Yandy","650490","Rays","2020","3B","-2",-3,0,-1,-2,0,-4,0,"68%","72%","-4%"
"Eaton, Adam","594809","Nationals","2020","RF","-1",-1,1,-1,-1,0,1,-2,"82%","83%","-1%"
"Edman, Tommy","669242","Cardinals","2020","3B","3",3,0,0,3,1,1,2,"77%","75%","2%"
"Escobar, Eduardo","500871","D-backs","2020","3B","1",1,-1,3,-1,1,-1,2,"75%","74%","1%"
"Espinal, Santiago","669289","Blue Jays","2020","SS","2",3,2,0,1,0,2,1,"75%","71%","4%"
"Fletcher, David","664058","Angels","2020","SS","-1",-1,1,1,-3,0,-2,2,"76%","76%","0%"
"Flores, Wilmer","527038","Giants","2020","2B","1",2,0,1,1,0,-1,3,"71%","69%","2%"
"Franco, Maikel","596748","Royals","2020","3B","-1",-1,2,-5,1,0,-2,2,"72%","73%","-1%"
"Frazier, Adam","624428","Pirates","2020","2B","4",6,1,2,2,1,2,3,"82%","79%","3%"
"Frazier, Clint","640449","Yankees","2020","RF","1",1,0,0,1,0,0,0,"89%","88%","1%"
"Frazier, Todd","453943","---","2020","3B","-1",-1,-1,0,0,0,-1,-1,"69%","70%","-1%"
"Freeman, Freddie","518692","Braves","2020","1B","1",1,0,1,0,0,1,0,"71%","70%","1%"
"Fuentes, Joshua","658069","Rockies","2020","1B","4",5,1,3,1,1,2,3,"79%","73%","6%"
"Gallo, Joey","608336","Rangers","2020","RF","3",3,1,1,1,0,1,2,"89%","87%","2%"
"Galvis, Freddy","520471","Reds","2020","SS","-3",-5,-1,-1,-2,0,-2,-2,"73%","77%","-4%"
"García Jr., Luis","671277","Nationals","2020","2B","-5",-7,-3,-1,-2,-1,-4,-2,"65%","71%","-6%"
"García, Avisaíl","541645","Brewers","2020","CF","0",1,0,1,-1,1,0,0,"86%","86%","0%"
"Gardner, Brett","458731","Yankees","2020","LF","0",0,-1,0,1,0,-1,0,"85%","85%","0%"
"Giménez, Andrés","665926","Mets","2020","SS","5",7,3,2,1,0,4,2,"77%","71%","6%"
"Goldschmidt, Paul","502671","Cardinals","2020","1B","3",4,2,0,1,1,1,2,"78%","75%","3%"
"Gonzalez, Marwin","503556","Twins","2020","3B","3",4,3,2,-2,2,2,2,"75%","72%","3%"
"González, Erik","570481","Pirates","2020","SS","1",2,0,3,-1,1,2,0,"71%","69%","2%"
"Goodrum, Niko","592348","Tigers","2020","SS","5",6,3,0,3,0,3,3,"79%","75%","4%"
"Goodwin, Brian","571718","---","2020","CF","-3",-3,-1,0,0,-1,-4,1,"82%","85%","-3%"
"Gordon, Alex","460086","Royals","2020","LF","-1",-1,0,-1,-1,0,-3,1,"89%","90%","-1%"
"Gregorius, Didi","544369","Phillies","2020","SS","-6",-8,-5,0,-3,0,-6,-2,"73%","77%","-4%"
"Grichuk, Randal","545341","Blue Jays","2020","CF","1",1,-1,1,0,1,1,0,"88%","87%","1%"
"Grisham, Trent","663757","Padres","2020","CF","6",7,1,2,4,0,5,2,"95%","90%","5%"
"Grossman, Robbie","543257","Athletics","2020","LF","3",3,-1,1,0,2,2,1,"86%","83%","3%"
"Guerrero Jr., Vladimir","665489","Blue Jays","2020","1B","-2",-2,0,-1,-2,0,0,-2,"69%","71%","-2%"
"Gurriel Jr., Lourdes","666971","Blue Jays","2020","LF","-1",-1,0,-2,1,-1,1,-2,"88%","89%","-1%"
"Gurriel, Yuli","493329","Astros","2020","1B","3",4,1,0,2,1,1,3,"80%","78%","2%"
"Hampson, Garrett","641658","Rockies","2020","2B","2",2,0,1,0,1,-1,3,"78%","77%","1%"
"Happ, Ian","664023","Cubs","2020","CF","0",0,1,0,0,-1,1,-1,"86%","86%","0%"
"Harper, Bryce","547180","Phillies","2020","RF","0",0,0,0,0,0,2,-1,"89%","89%","0%"
"Hayes, Ke'Bryan","663647","Pirates","2020","3B","3",4,1,0,3,0,3,0,"78%","73%","5%"
"Hays, Austin","669720","Orioles","2020","CF","0",1,0,1,1,-1,1,0,"86%","85%","1%"
"Hernández, César","514917","Guardians","2020","2B","3",3,0,2,4,-2,-2,6,"78%","76%","2%"
"Hernández, Enrique","571771","Dodgers","2020","2B","1",1,-1,2,-1,1,0,1,"79%","79%","0%"
"Hernández, Teoscar","606192","Blue Jays","2020","RF","-2",-2,-1,-2,-1,1,-1,-1,"80%","82%","-2%"
"Heyward, Jason","518792","Cubs","2020","RF","1",1,0,-1,1,1,0,1,"89%","89%","0%"
"Hicks, Aaron","543305","Yankees","2020","CF","-4",-4,-1,0,-3,-1,-3,-1,"85%","88%","-3%"
"Hilliard, Sam","656541","Rockies","2020","LF","0",0,0,1,-1,0,2,-2,"86%","86%","0%"
"Hiura, Keston","669374","Brewers","2020","2B","-1",-2,-4,1,1,1,-1,-1,"76%","77%","-1%"
"Hoerner, Nico","663538","Cubs","2020","2B","5",7,2,3,1,0,3,4,"76%","71%","5%"
"Hoskins, Rhys","656555","Phillies","2020","1B","-4",-5,0,-4,-1,-1,-4,-1,"60%","65%","-5%"
"Hosmer, Eric","543333","Padres","2020","1B","-2",-2,-1,-1,-1,0,-2,0,"63%","66%","-3%"
"Inciarte, Ender","542255","Braves","2020","CF","-1",-1,-1,2,0,-1,0,0,"83%","84%","-1%"
"Jiménez, Eloy","650391","White Sox","2020","LF","-3",-3,-1,-3,-1,1,0,-3,"84%","88%","-4%"
"Kemp, Tony","643393","Athletics","2020","2B","1",1,1,1,-1,0,-1,2,"73%","73%","0%"
"Kepler, Max","596146","Twins","2020","RF","1",1,0,0,1,0,-1,1,"81%","80%","1%"
"Kieboom, Carter","666198","Nationals","2020","3B","0",0,-2,3,-1,0,-2,1,"74%","74%","0%"
"Kiermaier, Kevin","595281","Rays","2020","CF","5",5,0,1,4,0,4,1,"89%","85%","4%"
"Kiner-Falefa, Isiah","643396","Rangers","2020","3B","4",5,2,0,2,1,5,0,"76%","74%","2%"
"Kingery, Scott","664068","Phillies","2020","2B","-3",-4,-1,-1,-2,0,-4,-1,"67%","72%","-5%"
"Kipnis, Jason","543401","Cubs","2020","2B","-3",-4,-2,-1,-1,-1,-4,0,"70%","74%","-4%"
"La Stella, Tommy","600303","---","2020","2B","-3",-4,-2,0,0,-1,-4,0,"65%","67%","-2%"
"Laureano, Ramón","657656","Athletics","2020","CF","2",2,0,1,0,1,2,0,"92%","91%","1%"
"LeMahieu, DJ","518934","Yankees","2020","2B","-2",-3,-1,-2,0,0,-4,1,"72%","74%","-2%"
"Lewis, Kyle","641786","Mariners","2020","CF","3",4,-1,2,2,1,3,1,"93%","90%","3%"
"Lindor, Francisco","596019","Guardians","2020","SS","5",7,5,1,0,1,4,2,"75%","72%","3%"
"Long Jr., Shed","643418","Mariners","2020","2B","-3",-3,1,-3,-2,0,-2,-2,"76%","79%","-3%"
"Longoria, Evan","446334","Giants","2020","3B","4",5,2,1,2,0,4,1,"76%","72%","4%"
"Lopez, Nicky","670032","Royals","2020","2B","5",7,3,6,-1,-1,2,5,"75%","71%","4%"
"Lowe, Brandon","664040","Rays","2020","2B","0",0,1,-1,0,0,0,0,"73%","73%","0%"
"Machado, Manny","592518","Padres","2020","3B","3",4,4,-1,1,0,3,2,"76%","73%","3%"
"Madrigal, Nick","663611","White Sox","2020","2B","1",1,-1,1,0,0,1,-1,"78%","77%","1%"
"Margot, Manuel","622534","Rays","2020","CF","2",2,-2,2,2,1,-1,3,"93%","92%","1%"
"Markakis, Nick","455976","Braves","2020","RF","1",1,1,0,0,0,1,0,"86%","85%","1%"
"Marte, Ketel","606466","D-backs","2020","2B","0",0,-2,0,1,1,0,1,"77%","77%","0%"
"Marte, Starling","516782","---","2020","CF","2",2,0,1,0,1,3,-1,"90%","89%","1%"
"Mazara, Nomar","608577","White Sox","2020","RF","0",0,0,0,1,1,0,0,"89%","89%","0%"
"McMahon, Ryan","641857","Rockies","2020","2B","0",0,1,-2,1,0,-1,1,"76%","76%","0%"
"McNeil, Jeff","643446","Mets","2020","3B","0",0,1,-2,0,1,-1,1,"83%","83%","0%"
"Mendick, Danny","664901","White Sox","2020","2B","0",0,3,-2,-1,0,-1,2,"78%","77%","1%"
"Merrifield, Whit","593160","Royals","2020","RF","2",3,4,0,-1,0,0,3,"86%","84%","2%"
"Moncada, Yoán","660162","White Sox","2020","3B","-1",-1,1,-2,-1,1,0,-2,"78%","79%","-1%"
"Mondesi, Adalberto","609275","Royals","2020","SS","2",3,1,0,0,1,1,2,"71%","70%","1%"
"Moore, Dylan","664238","Mariners","2020","2B","-1",-1,-1,0,0,1,1,-2,"84%","86%","-2%"
"Moustakas, Mike","519058","Reds","2020","2B","-2",-3,0,-2,-1,0,-1,-2,"75%","78%","-3%"
"Mullins, Cedric","656775","Orioles","2020","CF","4",5,0,3,2,1,3,2,"96%","92%","4%"
"Muncy, Max","571970","Dodgers","2020","1B","-3",-5,-6,-1,1,1,-4,-1,"66%","68%","-2%"
"Murphy, Daniel","502517","Rockies","2020","1B","-2",-3,1,-3,-1,0,-1,-2,"62%","66%","-4%"
"Myers, Wil","571976","Padres","2020","RF","1",1,1,0,0,0,0,1,"89%","89%","0%"
"Naquin, Tyler","571980","Guardians","2020","RF","-4",-5,-1,-3,-2,1,-4,-1,"82%","88%","-6%"
"Newman, Kevin","621028","Pirates","2020","SS","-2",-3,-1,0,-2,0,0,-3,"71%","73%","-2%"
"Nimmo, Brandon","607043","Mets","2020","CF","-2",-2,-1,-1,0,0,0,-2,"84%","86%","-2%"
"O'Neill, Tyler","641933","Cardinals","2020","LF","3",4,0,1,0,2,2,1,"92%","88%","4%"
"Odor, Rougned","596059","Rangers","2020","2B","1",1,-1,1,0,1,-1,1,"77%","76%","1%"
"Olson, Matt","621566","Athletics","2020","1B","0",0,1,1,-2,1,-1,1,"74%","74%","0%"
"Panik, Joe","605412","Blue Jays","2020","SS","0",-1,0,0,0,0,-1,0,"74%","75%","-1%"
"Paredes, Isaac","670623","Tigers","2020","3B","-3",-3,-2,0,-1,-1,-3,0,"67%","70%","-3%"
"Peralta, David","444482","D-backs","2020","LF","1",1,1,0,1,0,1,0,"87%","85%","2%"
"Peraza, José","606299","Red Sox","2020","2B","2",3,0,3,-1,0,0,2,"73%","70%","3%"
